Respondent,Check,Details
1,Reported no communication difficulty but selected at least one challenge,Could not understand provider language
1,Selected 'no legal challenges' together with a specific legal challenge,Mutually inconsistent multiple-choice selections
2,Reported no communication difficulty but selected at least one challenge,Could not understand provider language
2,Selected 'no legal challenges' together with a specific legal challenge,Mutually inconsistent multiple-choice selections
3,Selected 'no legal challenges' together with a specific legal challenge,Mutually inconsistent multiple-choice selections
4,Reported smartphone access but also selected 'I do not own a phone',Phone access response conflicts with digital-barrier response
4,Selected 'no legal challenges' together with a specific legal challenge,Mutually inconsistent multiple-choice selections
5,Reported smartphone access but also selected 'I do not own a phone',Phone access response conflicts with digital-barrier response
5,Selected 'no legal challenges' together with a specific legal challenge,Mutually inconsistent multiple-choice selections
6,Reported no communication difficulty but selected at least one challenge,Other
6,Selected 'no legal challenges' together with a specific legal challenge,Mutually inconsistent multiple-choice selections
7,Selected 'no legal challenges' together with a specific legal challenge,Mutually inconsistent multiple-choice selections
