id,country,location,category,question,answer,organisation,source_title,source_url,language,last_verified
KE-KAK-HEALTH-001,Kenya,Kakuma,health,"Where can I access healthcare in Kakuma?","Health services in Kakuma are provided free of charge through UNHCR and its health partners at the camp health facilities. For non-emergencies, visit the nearest health post during opening hours. For emergencies, go to the nearest health facility immediately or ask any staff member to help you reach emergency care. Bring your refugee ID or registration document when you visit.","UNHCR / health partners","Health - UNHCR Help Kenya","https://help.unhcr.org/kenya/","English",
KE-KAK-HEALTH-002,Kenya,Kakuma,health,"How can I get maternal or antenatal care in Kakuma?","Pregnant women can receive antenatal and maternal care at the maternal health services in the camp, provided by UNHCR health partners. Ask at any health post to be directed to the maternal health point, and carry your registration document.","UNHCR / health partners","Health - UNHCR Help Kenya","https://help.unhcr.org/kenya/","English",
KE-KAK-LEGAL-001,Kenya,Kakuma,legal,"Where can I get legal assistance in Kakuma?","Legal assistance and protection support are available through UNHCR and its protection partners in Kakuma. Visit the protection or legal aid desk at the service point, where you can get help with your case, rights, and referrals. If you feel unsafe, tell a protection officer immediately.","UNHCR / protection partners","Protection - UNHCR Help Kenya","https://help.unhcr.org/kenya/","English",
KE-KAK-ASYLUM-001,Kenya,Kakuma,legal,"How do I register as an asylum seeker in Kenya?","Asylum seekers in Kenya register with the Department of Refugee Services (DRS) and UNHCR. Registration, asylum procedures, and documentation are handled at the designated registration office. Visit the DRS office in Kakuma or the registration point at the service centre to start or continue your registration.","Kenya Department of Refugee Services (DRS)","Department of Refugee Services Kenya","https://refugee.go.ke/","English",
KE-KAK-INTERP-001,Kenya,Kakuma,interpreter,"How can I request an interpreter in Kakuma?","Interpretation support is available free of charge to help you access services. Ask any staff member at the service desk to arrange an interpreter for your appointment, and let them know your preferred language. Do not let a language barrier stop you from getting help.","UNHCR / service partners","Interpreter support - UNHCR Help Kenya","https://help.unhcr.org/kenya/","English",
KE-KAK-DOC-001,Kenya,Kakuma,documentation,"I received a document I do not understand. What should I do?","If you receive a document you do not understand, you can bring it to the service point in Kakuma and ask a staff member to explain it. You can also use the SemaSasa document scanner to extract and translate the text, then ask staff to confirm any actions or deadlines it mentions.","UNHCR / service partners","Documentation - UNHCR Help Kenya","https://help.unhcr.org/kenya/","English",
UG-BID-REG-001,Uganda,Bidibidi,documentation,"How do I register as a refugee in Bidibidi?","Refugee registration in Uganda is carried out by the Office of the Prime Minister (OPM) together with UNHCR. Registration, documentation, and birth registration are handled at the settlement registration point. Visit the OPM or UNHCR registration desk in Bidibidi to begin the process.","Office of the Prime Minister (OPM) / UNHCR","Registration - UNHCR Help Uganda","https://help.unhcr.org/uganda/","English",
UG-BID-INTERP-001,Uganda,Bidibidi,interpreter,"How can I request an interpreter in Bidibidi?","Interpretation support is available to help you communicate with service providers. Ask staff at the service point to arrange an interpreter and tell them your preferred language, so you can be understood during your appointment.","UNHCR / service partners","Interpreter support - UNHCR Help Uganda","https://help.unhcr.org/uganda/","English",
UG-BID-CONTACT-001,Uganda,Bidibidi,contacts,"How do I give feedback or ask for help from organisations in Bidibidi?","You can reach organisations working in Bidibidi through the inter-agency feedback, referral and resolution mechanism (FRRM). Use it to request assistance, ask questions, or report a concern, and you will be directed to the right partner organisation.","UNHCR / OPM partners","Feedback and Referral Mechanism - UNHCR Help Uganda","https://help.unhcr.org/uganda/","English",
KE-KAK-CASH-001,Kenya,Kakuma,cash,"How do I receive cash assistance (CBI) in Kakuma?","Cash assistance from UNHCR is delivered through a bank account. Most Kakuma camp refugees are paid via KCB Bank, and Kalobeyei residents via Equity Bank. Each household gets one free ATM card in the name of its focal point. All UNHCR services are free — you should never pay anyone to receive your assistance.","UNHCR / KCB / Equity Bank","Cash-Based Interventions (CBI) - UNHCR Help Kenya","https://help.unhcr.org/kenya/kakuma/cash-based-interventions-cbi/","English",2026-08-16
KE-KAK-CASH-002,Kenya,Kakuma,cash,"I lost my ATM card or did not receive my cash. What should I do?","Report a lost, stolen or damaged ATM card to KCB or Equity Bank immediately; a replacement costs KES 500. Never share your PIN with anyone. For problems with your cash assistance, visit a UNHCR field post or call the free national helpline 1517. Paying anyone to fix it is fraud — report it to UNHCR.","UNHCR","Cash-Based Interventions (CBI) - UNHCR Help Kenya","https://help.unhcr.org/kenya/kakuma/cash-based-interventions-cbi/","English",2026-08-16
KE-KAK-DOC-002,Kenya,Kakuma,documentation,"How do I get a birth certificate in Kakuma?","Birth certificates are issued by the Civil Registrar in Lodwar, with monthly registration missions at UNHCR Field Posts 1 and 4 and in Kalobeyei. Bring the birth notification (pink slip) and your proof of registration. Children born in Kenya or to at least one Kenyan parent are eligible.","UNHCR / Civil Registrar","Documentation - UNHCR Help Kenya (Kakuma)","https://help.unhcr.org/kenya/kakuma/documentation/","English",2026-08-16
KE-KAK-DOC-003,Kenya,Kakuma,documentation,"How do I get a movement pass to travel from Kakuma?","Movement passes are issued by the Camp Manager at Field Posts 1, 2 and 4 and in Kalobeyei, Monday to Friday from 9 AM to 3 PM. Processing takes about 2 to 3 days.","UNHCR / Camp Manager","Documentation - UNHCR Help Kenya (Kakuma)","https://help.unhcr.org/kenya/kakuma/documentation/","English",2026-08-16
KE-KAK-DOC-004,Kenya,Kakuma,documentation,"I lost my refugee document. What should I do?","If you lose a document, first report it to the police and obtain a Police Abstract, then inform UNHCR so they can liaise with Civil Registration to help you replace it.","UNHCR","Documentation - UNHCR Help Kenya (Kakuma)","https://help.unhcr.org/kenya/kakuma/documentation/","English",2026-08-16
KE-KAK-ASYLUM-002,Kenya,Kakuma,legal,"How does the refugee status (RSD) interview and decision process work in Kakuma?","Refugee Status Determination is handled at the DRS Data and Processing Centre in Kakuma 4, next to the Kakuma 4 police post. Interviews are held Tuesday to Thursday and you are notified of your date by phone call and SMS. Decision letters are given out on Fridays. If your claim is rejected, you can appeal to the Refugee Appeals Board within 30 days; the Refugee Consortium of Kenya (RCK) can help you file the appeal.","DRS / UNHCR / RCK","Refugee Status Determination - UNHCR Help Kenya (Kakuma)","https://help.unhcr.org/kenya/kakuma/refugee-status-determination/","English",2026-08-16
